age_group,gender,height_category,weight_category,gymorhome,goal,budget,diet_type,workout_plan,diet_plan
senior,male,short,normal,home,stamina,medium,non-vegetarian,Mon: Running in Place; Tue: Burpees; Wed: HIIT Cardio; Thu: HIIT Cardio; Fri: Jump Rope; Sat: Jump Rope; Sun: Bodyweight Circuit,Breakfast: Grilled Chicken + Rice; Lunch: Grilled Chicken + Rice; Snacks: Fruit + Nuts; Dinner: Egg Omelette + Toast; Breakfast2: Egg Omelette + Toast; Lunch2: Fruit + Nuts; Snacks2: Fish Soup + Veggies
teen,female,tall,normal,home,weight-loss,low,vegetarian,Mon: Burpees; Tue: High Knees; Wed: Jumping Jacks; Thu: Burpees; Fri: High Knees; Sat: Jumping Jacks; Sun: Mountain Climbers,Breakfast: Fruit + Nuts; Lunch: Lentil Soup + Veggies; Snacks: Vegetable Salad + Quinoa; Dinner: Vegetable Salad + Quinoa; Breakfast2: Fruit + Nuts; Lunch2: Oats + Skim Milk + Banana; Snacks2: Oats + Skim Milk + Banana
senior,female,short,obese,gym,flexibility,medium,vegan,Mon: Core Machines; Tue: Pilates Machines; Wed: Stretching; Thu: Pilates Machines; Fri: Balance Boards; Sat: Core Machines; Sun: Yoga Machines,Breakfast: Fruit + Almond Yogurt; Lunch: Veg Stir Fry + Rice; Snacks: Salads + Tofu; Dinner: Oatmeal + Soy Milk; Breakfast2: Veg Stir Fry + Rice; Lunch2: Fruit + Almond Yogurt; Snacks2: Oatmeal + Soy Milk
middle,female,short,underweight,gym,weight-loss,high,non-vegetarian,Mon: Rowing Machine; Tue: Cross Trainer; Wed: Treadmill HIIT; Thu: Rowing Machine; Fri: Spinning; Sat: Treadmill HIIT; Sun: Battle Ropes,Breakfast: Chicken + Rice + Veg; Lunch: Protein Shake + Nuts; Snacks: Eggs + Oats + Milk; Dinner: Chicken + Rice + Veg; Breakfast2: Eggs + Oats + Milk; Lunch2: Fish + Sweet Potato; Snacks2: Fish + Sweet Potato
middle,male,short,overweight,home,flexibility,low,non-vegetarian,Mon: Balance Exercises; Tue: Stretching; Wed: Stretching; Thu: Mobility Drills; Fri: Yoga Flow; Sat: Pilates Mat; Sun: Balance Exercises,Breakfast: Protein Shake + Nuts; Lunch: Fish + Veg Stir Fry; Snacks: Protein Shake + Nuts; Dinner: Fish + Veg Stir Fry; Breakfast2: Eggs + Oats; Lunch2: Eggs + Oats; Snacks2: Chicken Salad + Quinoa
middle,male,tall,normal,home,weight-loss,medium,vegetarian,Mon: Mountain Climbers; Tue: Bodyweight Circuit; Wed: Bodyweight Circuit; Thu: Jumping Jacks; Fri: Burpees; Sat: High Knees; Sun: Mountain Climbers,Breakfast: Oats + Skim Milk + Banana; Lunch: Lentil Soup + Veggies; Snacks: Lentil Soup + Veggies; Dinner: Vegetable Salad + Quinoa; Breakfast2: Fruit + Nuts; Lunch2: Oats + Skim Milk + Banana; Snacks2: Fruit + Nuts
senior,female,tall,overweight,gym,flexibility,low,vegan,Mon: Yoga Machines; Tue: Balance Boards; Wed: Stretching; Thu: Core Machines; Fri: Yoga Machines; Sat: Balance Boards; Sun: Pilates Machines,Breakfast: Salads + Tofu; Lunch: Fruit + Almond Yogurt; Snacks: Veg Stir Fry + Rice; Dinner: Salads + Tofu; Breakfast2: Veg Stir Fry + Rice; Lunch2: Oatmeal + Soy Milk; Snacks2: Fruit + Almond Yogurt
young,male,short,normal,gym,muscle-gain,medium,non-vegetarian,Mon: Pull-up Bar; Tue: Leg Press; Wed: Bench Press; Thu: Squat Rack; Fri: Pull-up Bar; Sat: Bench Press; Sun: Squat Rack,Breakfast: Protein Shake + Nuts; Lunch: Fish Stir Fry + Veggies; Snacks: Fish Stir Fry + Veggies; Dinner: Eggs + Quinoa; Breakfast2: Chicken Breast + Brown Rice; Lunch2: Eggs + Quinoa; Snacks2: Chicken Breast + Brown Rice
young,male,tall,normal,gym,stamina,medium,vegan,Mon: Elliptical; Tue: Jump Rope; Wed: Circuit Training; Thu: Jump Rope; Fri: HIIT Treadmill; Sat: Stair Climber; Sun: Stair Climber,Breakfast: Veggie Soup + Bread; Lunch: Smoothie Bowl; Snacks: Veggie Soup + Bread; Dinner: Veg Wrap + Rice; Breakfast2: Fruit + Nuts; Lunch2: Fruit + Nuts; Snacks2: Veg Wrap + Rice
teen,female,medium,overweight,home,stamina,low,vegetarian,Mon: Running in Place; Tue: HIIT Cardio; Wed: Burpees; Thu: Bodyweight Circuit; Fri: Jump Rope; Sat: Bodyweight Circuit; Sun: HIIT Cardio,Breakfast: Fruit + Nuts; Lunch: Vegetable Soup + Bread; Snacks: Vegetable Soup + Bread; Dinner: Smoothie + Oats; Breakfast2: Vegetable Wraps + Rice; Lunch2: Vegetable Wraps + Rice; Snacks2: Fruit + Nuts
teen,male,short,normal,home,stamina,low,non-vegetarian,Mon: Running in Place; Tue: Burpees; Wed: HIIT Cardio; Thu: Bodyweight Circuit; Fri: Burpees; Sat: HIIT Cardio; Sun: Running in Place,Breakfast: Fruit + Nuts; Lunch: Fish Soup + Veggies; Snacks: Grilled Chicken + Rice; Dinner: Fish Soup + Veggies; Breakfast2: Egg Omelette + Toast; Lunch2: Grilled Chicken + Rice; Snacks2: Fruit + Nuts
senior,male,tall,obese,home,stamina,low,vegetarian,Mon: Burpees; Tue: Bodyweight Circuit; Wed: Running in Place; Thu: HIIT Cardio; Fri: Jump Rope; Sat: HIIT Cardio; Sun: Burpees,Breakfast: Smoothie + Oats; Lunch: Vegetable Wraps + Rice; Snacks: Vegetable Soup + Bread; Dinner: Fruit + Nuts; Breakfast2: Vegetable Wraps + Rice; Lunch2: Fruit + Nuts; Snacks2: Vegetable Soup + Bread
